[2024-07-01T02:41:09.016+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.033+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.035+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-07-01T02:41:09.063+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-30 00:00:00+00:00
[2024-07-01T02:41:09.073+0000] {standard_task_runner.py:60} INFO - Started process 163 to run task
[2024-07-01T02:41:09.081+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'scheduled__2024-06-30T00:00:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpfeelgit1']
[2024-07-01T02:41:09.105+0000] {standard_task_runner.py:88} INFO - Job 9: Subtask upload_bill_status_to_gcs
[2024-07-01T02:41:16.278+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_10.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_10.json
[2024-07-01T02:41:16.871+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_5.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_5.json
[2024-07-01T02:41:17.485+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_4.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_4.json
[2024-07-01T02:41:18.119+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_11.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_11.json
[2024-07-01T02:41:18.733+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_8.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_8.json
[2024-07-01T02:41:19.371+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_7.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_7.json
[2024-07-01T02:41:20.069+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_12.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_12.json
[2024-07-01T02:41:20.658+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_13.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_13.json
[2024-07-01T02:41:21.276+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_6.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_6.json
[2024-07-01T02:41:21.882+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_1.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_1.json
[2024-07-01T02:41:22.475+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_14.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_14.json
[2024-07-01T02:41:23.072+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_18.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_18.json
[2024-07-01T02:41:23.667+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_15.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_15.json
[2024-07-01T02:41:24.300+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_0.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_0.json
[2024-07-01T02:41:24.926+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/sresbill_status_1.json to gs://congress_data_testproject-420401/bill_status/sres/sresbill_status_1.json
[2024-07-01T02:41:25.535+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/sresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sres/sresbill_status_0.json
[2024-07-01T02:41:26.135+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/sresbill_status_2.json to gs://congress_data_testproject-420401/bill_status/sres/sresbill_status_2.json
[2024-07-01T02:41:26.737+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_0.json
[2024-07-01T02:41:27.338+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_1.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_1.json
[2024-07-01T02:41:28.026+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_4.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_4.json
[2024-07-01T02:41:28.647+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_5.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_5.json
[2024-07-01T02:41:29.261+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_2.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_2.json
[2024-07-01T02:41:29.848+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hres/hresbill_status_3.json to gs://congress_data_testproject-420401/bill_status/hres/hresbill_status_3.json
[2024-07-01T02:41:30.438+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_26.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_26.json
[2024-07-01T02:41:31.057+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_30.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_30.json
[2024-07-01T02:41:31.685+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_10.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_10.json
[2024-07-01T02:41:32.287+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_0.json
[2024-07-01T02:41:32.915+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_1.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_1.json
[2024-07-01T02:41:33.532+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_11.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_11.json
[2024-07-01T02:41:34.157+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_31.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_31.json
[2024-07-01T02:41:34.795+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_27.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_27.json
[2024-07-01T02:41:35.440+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_16.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_16.json
[2024-07-01T02:41:36.058+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_6.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_6.json
[2024-07-01T02:41:36.830+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_20.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_20.json
[2024-07-01T02:41:37.418+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_21.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_21.json
[2024-07-01T02:41:38.056+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_7.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_7.json
[2024-07-01T02:41:38.707+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_17.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_17.json
[2024-07-01T02:41:39.306+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_4.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_4.json
[2024-07-01T02:41:39.900+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_14.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_14.json
[2024-07-01T02:41:40.549+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_8.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_8.json
[2024-07-01T02:41:41.138+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_18.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_18.json
[2024-07-01T02:41:41.754+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_34.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_34.json
[2024-07-01T02:41:42.359+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_22.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_22.json
[2024-07-01T02:41:42.956+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_23.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_23.json
[2024-07-01T02:41:43.510+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_35.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_35.json
[2024-07-01T02:41:44.094+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_19.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_19.json
[2024-07-01T02:41:44.699+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_9.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_9.json
[2024-07-01T02:41:45.294+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_15.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_15.json
[2024-07-01T02:41:45.906+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_5.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_5.json
[2024-07-01T02:41:46.521+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_32.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_32.json
[2024-07-01T02:41:47.123+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_24.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_24.json
[2024-07-01T02:41:47.738+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_2.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_2.json
[2024-07-01T02:41:48.379+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_12.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_12.json
[2024-07-01T02:41:49.041+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_28.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_28.json
[2024-07-01T02:41:49.626+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_29.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_29.json
[2024-07-01T02:41:50.211+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_13.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_13.json
[2024-07-01T02:41:50.832+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_3.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_3.json
[2024-07-01T02:41:51.470+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_25.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_25.json
[2024-07-01T02:41:52.088+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_33.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_33.json
[2024-07-01T02:41:52.684+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sjres/sjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sjres/sjresbill_status_0.json
[2024-07-01T02:41:52.686+0000] {python.py:202} INFO - Done. Returned value was: None
[2024-07-01T02:41:52.718+0000] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=upload_congress_data, task_id=upload_bill_status_to_gcs, execution_date=20240630T000000, start_date=20240701T024109, end_date=20240701T024152
[2024-07-01T02:41:52.778+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-07-01T02:41:52.806+0000] {taskinstance.py:3312} INFO - 1 downstream tasks scheduled from follow-on schedule check
