[2024-07-01T02:58:48.301+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:58:48.312+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:58:48.313+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-07-01T02:58:48.326+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-30 00:00:00+00:00
[2024-07-01T02:58:48.342+0000] {standard_task_runner.py:60} INFO - Started process 507 to run task
[2024-07-01T02:58:48.354+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-30T00:00:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpvzw_q9pg']
[2024-07-01T02:58:48.378+0000] {standard_task_runner.py:88} INFO - Job 33: Subtask get_votes_from_downloaded_bills
[2024-07-01T02:58:52.051+0000] {get_data.py:98} INFO - Opened bill HJRES 89
[2024-07-01T02:58:52.052+0000] {get_data.py:98} INFO - Opened bill HJRES 62
[2024-07-01T02:58:52.053+0000] {get_data.py:98} INFO - Opened bill HJRES 76
[2024-07-01T02:58:52.054+0000] {get_data.py:98} INFO - Opened bill HJRES 77
[2024-07-01T02:58:52.054+0000] {get_data.py:98} INFO - Opened bill HJRES 63
[2024-07-01T02:58:52.059+0000] {get_data.py:98} INFO - Opened bill HJRES 88
[2024-07-01T02:58:52.656+0000] {get_data.py:98} INFO - Opened bill HJRES 6
[2024-07-01T02:58:52.657+0000] {get_data.py:98} INFO - Opened bill HJRES 151
[2024-07-01T02:58:52.657+0000] {get_data.py:98} INFO - Opened bill HJRES 145
[2024-07-01T02:58:52.657+0000] {get_data.py:98} INFO - Opened bill HJRES 153
[2024-07-01T02:58:52.658+0000] {get_data.py:98} INFO - Opened bill HJRES 147
[2024-07-01T02:58:52.658+0000] {get_data.py:98} INFO - Opened bill HJRES 4
[2024-07-01T02:58:52.658+0000] {get_data.py:98} INFO - Opened bill HJRES 75
[2024-07-01T02:58:52.659+0000] {get_data.py:98} INFO - Opened bill HJRES 61
[2024-07-01T02:58:52.659+0000] {get_data.py:98} INFO - Opened bill HJRES 49
[2024-07-01T02:58:52.659+0000] {get_data.py:98} INFO - Opened bill HJRES 48
[2024-07-01T02:58:52.660+0000] {get_data.py:98} INFO - Opened bill HJRES 60
[2024-07-01T02:58:52.660+0000] {get_data.py:98} INFO - Opened bill HJRES 74
[2024-07-01T02:58:53.124+0000] {get_data.py:98} INFO - Opened bill HJRES 5
[2024-07-01T02:58:53.125+0000] {get_data.py:98} INFO - Opened bill HJRES 146
[2024-07-01T02:58:53.126+0000] {get_data.py:98} INFO - Opened bill HJRES 152
[2024-07-01T02:58:53.126+0000] {get_data.py:98} INFO - Opened bill HJRES 1
[2024-07-01T02:58:53.127+0000] {get_data.py:98} INFO - Opened bill HJRES 156
[2024-07-01T02:58:53.128+0000] {get_data.py:98} INFO - Opened bill HJRES 142
[2024-07-01T02:58:53.129+0000] {get_data.py:98} INFO - Opened bill HJRES 58
[2024-07-01T02:58:53.130+0000] {get_data.py:98} INFO - Opened bill HJRES 70
[2024-07-01T02:58:53.618+0000] {get_data.py:98} INFO - Opened bill HJRES 64
[2024-07-01T02:58:53.619+0000] {get_data.py:98} INFO - Opened bill HJRES 65
[2024-07-01T02:58:53.619+0000] {get_data.py:98} INFO - Opened bill HJRES 71
[2024-07-01T02:58:54.062+0000] {get_data.py:98} INFO - Opened bill HJRES 59
[2024-07-01T02:58:54.062+0000] {get_data.py:98} INFO - Opened bill HJRES 143
[2024-07-01T02:58:54.063+0000] {get_data.py:98} INFO - Opened bill HJRES 157
[2024-07-01T02:58:54.063+0000] {get_data.py:98} INFO - Opened bill HJRES 169
[2024-07-01T02:58:54.063+0000] {get_data.py:98} INFO - Opened bill HJRES 2
[2024-07-01T02:58:54.064+0000] {get_data.py:98} INFO - Opened bill HJRES 141
[2024-07-01T02:58:54.064+0000] {get_data.py:98} INFO - Opened bill HJRES 155
[2024-07-01T02:58:54.064+0000] {get_data.py:98} INFO - Opened bill HJRES 98
[2024-07-01T02:58:54.972+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:58:55.149+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:58:55.150+0000] {get_data.py:98} INFO - Opened bill HJRES 67
[2024-07-01T02:58:55.151+0000] {get_data.py:98} INFO - Opened bill HJRES 73
[2024-07-01T02:58:55.151+0000] {get_data.py:98} INFO - Opened bill HJRES 72
[2024-07-01T02:58:55.152+0000] {get_data.py:98} INFO - Opened bill HJRES 66
[2024-07-01T02:58:55.153+0000] {get_data.py:98} INFO - Opened bill HJRES 99
[2024-07-01T02:58:55.153+0000] {get_data.py:98} INFO - Opened bill HJRES 154
[2024-07-01T02:58:55.155+0000] {get_data.py:98} INFO - Opened bill HJRES 140
[2024-07-01T02:58:55.155+0000] {get_data.py:98} INFO - Opened bill HJRES 3
[2024-07-01T02:58:55.156+0000] {get_data.py:98} INFO - Opened bill HJRES 168
[2024-07-01T02:58:55.157+0000] {get_data.py:98} INFO - Opened bill HJRES 165
[2024-07-01T02:58:55.157+0000] {get_data.py:98} INFO - Opened bill HJRES 171
[2024-07-01T02:58:55.158+0000] {get_data.py:98} INFO - Opened bill HJRES 159
[2024-07-01T02:58:55.158+0000] {get_data.py:98} INFO - Opened bill HJRES 80
[2024-07-01T02:58:55.159+0000] {get_data.py:98} INFO - Opened bill HJRES 94
[2024-07-01T02:58:55.159+0000] {get_data.py:98} INFO - Opened bill HJRES 43
[2024-07-01T02:58:55.160+0000] {get_data.py:98} INFO - Opened bill HJRES 57
[2024-07-01T02:58:55.160+0000] {get_data.py:98} INFO - Opened bill HJRES 56
[2024-07-01T02:58:55.161+0000] {get_data.py:98} INFO - Opened bill HJRES 42
[2024-07-01T02:58:56.369+0000] {get_data.py:98} INFO - Opened bill HJRES 95
[2024-07-01T02:58:56.370+0000] {get_data.py:98} INFO - Opened bill HJRES 81
[2024-07-01T02:58:56.371+0000] {get_data.py:98} INFO - Opened bill HJRES 158
[2024-07-01T02:58:56.372+0000] {get_data.py:98} INFO - Opened bill HJRES 170
[2024-07-01T02:58:56.373+0000] {get_data.py:98} INFO - Opened bill HJRES 164
[2024-07-01T02:58:56.374+0000] {get_data.py:98} INFO - Opened bill HJRES 166
[2024-07-01T02:58:56.375+0000] {get_data.py:98} INFO - Opened bill HJRES 97
[2024-07-01T02:58:56.375+0000] {get_data.py:98} INFO - Opened bill HJRES 83
[2024-07-01T02:58:56.376+0000] {get_data.py:98} INFO - Opened bill HJRES 54
[2024-07-01T02:58:56.377+0000] {get_data.py:98} INFO - Opened bill HJRES 40
[2024-07-01T02:58:56.378+0000] {get_data.py:98} INFO - Opened bill HJRES 68
[2024-07-01T02:58:56.911+0000] {get_data.py:98} INFO - Opened bill HJRES 69
[2024-07-01T02:58:56.912+0000] {get_data.py:98} INFO - Opened bill HJRES 41
[2024-07-01T02:58:56.912+0000] {get_data.py:98} INFO - Opened bill HJRES 55
[2024-07-01T02:58:56.912+0000] {get_data.py:98} INFO - Opened bill HJRES 82
[2024-07-01T02:58:56.912+0000] {get_data.py:98} INFO - Opened bill HJRES 96
[2024-07-01T02:58:56.913+0000] {get_data.py:98} INFO - Opened bill HJRES 167
[2024-07-01T02:58:56.913+0000] {get_data.py:98} INFO - Opened bill HJRES 163
[2024-07-01T02:58:56.913+0000] {get_data.py:98} INFO - Opened bill HJRES 8
[2024-07-01T02:58:56.913+0000] {get_data.py:98} INFO - Opened bill HJRES 92
[2024-07-01T02:58:56.914+0000] {get_data.py:98} INFO - Opened bill HJRES 86
[2024-07-01T02:58:56.914+0000] {get_data.py:98} INFO - Opened bill HJRES 79
[2024-07-01T02:58:57.386+0000] {get_data.py:98} INFO - Opened bill HJRES 51
[2024-07-01T02:58:57.387+0000] {get_data.py:98} INFO - Opened bill HJRES 45
[2024-07-01T02:58:59.119+0000] {get_data.py:98} INFO - Opened bill HJRES 44
[2024-07-01T02:58:59.974+0000] {get_data.py:98} INFO - Opened bill HJRES 50
[2024-07-01T02:58:59.975+0000] {get_data.py:98} INFO - Opened bill HJRES 78
[2024-07-01T02:58:59.975+0000] {get_data.py:98} INFO - Opened bill HJRES 87
[2024-07-01T02:58:59.975+0000] {get_data.py:98} INFO - Opened bill HJRES 93
[2024-07-01T02:58:59.975+0000] {get_data.py:98} INFO - Opened bill HJRES 9
[2024-07-01T02:58:59.976+0000] {get_data.py:98} INFO - Opened bill HJRES 162
[2024-07-01T02:58:59.976+0000] {get_data.py:98} INFO - Opened bill HJRES 148
[2024-07-01T02:58:59.976+0000] {get_data.py:98} INFO - Opened bill HJRES 160
[2024-07-01T02:58:59.976+0000] {get_data.py:98} INFO - Opened bill HJRES 85
[2024-07-01T02:58:59.977+0000] {get_data.py:98} INFO - Opened bill HJRES 91
[2024-07-01T02:58:59.977+0000] {get_data.py:98} INFO - Opened bill HJRES 46
[2024-07-01T02:58:59.977+0000] {get_data.py:98} INFO - Opened bill HJRES 52
[2024-07-01T02:58:59.977+0000] {get_data.py:98} INFO - Opened bill HJRES 53
[2024-07-01T02:58:59.977+0000] {get_data.py:98} INFO - Opened bill HJRES 47
[2024-07-01T02:58:59.978+0000] {get_data.py:98} INFO - Opened bill HJRES 90
[2024-07-01T02:58:59.978+0000] {get_data.py:98} INFO - Opened bill HJRES 84
[2024-07-01T02:58:59.978+0000] {get_data.py:98} INFO - Opened bill HJRES 161
[2024-07-01T02:58:59.978+0000] {get_data.py:98} INFO - Opened bill HJRES 149
[2024-07-01T02:58:59.979+0000] {get_data.py:98} INFO - Opened bill HJRES 106
[2024-07-01T02:58:59.979+0000] {get_data.py:98} INFO - Opened bill HJRES 112
[2024-07-01T02:58:59.979+0000] {get_data.py:98} INFO - Opened bill HJRES 20
[2024-07-01T02:58:59.979+0000] {get_data.py:98} INFO - Opened bill HJRES 34
[2024-07-01T02:58:59.979+0000] {get_data.py:98} INFO - Opened bill HJRES 35
[2024-07-01T02:58:59.980+0000] {get_data.py:98} INFO - Opened bill HJRES 21
[2024-07-01T02:58:59.980+0000] {get_data.py:98} INFO - Opened bill HJRES 113
[2024-07-01T02:58:59.980+0000] {get_data.py:98} INFO - Opened bill HJRES 107
[2024-07-01T02:58:59.980+0000] {get_data.py:98} INFO - Opened bill HJRES 111
[2024-07-01T02:58:59.980+0000] {get_data.py:98} INFO - Opened bill HJRES 105
[2024-07-01T02:58:59.981+0000] {get_data.py:98} INFO - Opened bill HJRES 139
[2024-07-01T02:58:59.981+0000] {get_data.py:98} INFO - Opened bill HJRES 37
[2024-07-01T02:58:59.981+0000] {get_data.py:98} INFO - Opened bill HJRES 23
[2024-07-01T02:58:59.981+0000] {get_data.py:98} INFO - Opened bill HJRES 22
[2024-07-01T02:58:59.981+0000] {get_data.py:98} INFO - Opened bill HJRES 36
[2024-07-01T02:58:59.982+0000] {get_data.py:98} INFO - Opened bill HJRES 138
[2024-07-01T02:58:59.982+0000] {get_data.py:98} INFO - Opened bill HJRES 104
[2024-07-01T02:58:59.982+0000] {get_data.py:98} INFO - Opened bill HJRES 110
[2024-07-01T02:58:59.982+0000] {get_data.py:98} INFO - Opened bill HJRES 128
[2024-07-01T02:58:59.983+0000] {get_data.py:98} INFO - Opened bill HJRES 114
[2024-07-01T02:58:59.983+0000] {get_data.py:98} INFO - Opened bill HJRES 100
[2024-07-01T02:58:59.983+0000] {get_data.py:98} INFO - Opened bill HJRES 32
[2024-07-01T02:58:59.983+0000] {get_data.py:98} INFO - Opened bill HJRES 26
[2024-07-01T02:59:00.907+0000] {get_data.py:98} INFO - Opened bill HJRES 27
[2024-07-01T02:59:02.041+0000] {get_data.py:98} INFO - Opened bill HJRES 33
[2024-07-01T02:59:02.042+0000] {get_data.py:98} INFO - Opened bill HJRES 101
[2024-07-01T02:59:02.042+0000] {get_data.py:98} INFO - Opened bill HJRES 115
[2024-07-01T02:59:02.042+0000] {get_data.py:98} INFO - Opened bill HJRES 129
[2024-07-01T02:59:02.042+0000] {get_data.py:98} INFO - Opened bill HJRES 103
[2024-07-01T02:59:02.043+0000] {get_data.py:98} INFO - Opened bill HJRES 117
[2024-07-01T02:59:02.043+0000] {get_data.py:98} INFO - Opened bill HJRES 19
[2024-07-01T02:59:02.043+0000] {get_data.py:98} INFO - Opened bill HJRES 25
[2024-07-01T02:59:02.043+0000] {get_data.py:98} INFO - Opened bill HJRES 31
[2024-07-01T02:59:02.044+0000] {get_data.py:98} INFO - Opened bill HJRES 30
[2024-07-01T02:59:03.239+0000] {get_data.py:98} INFO - Opened bill HJRES 24
[2024-07-01T02:59:03.851+0000] {get_data.py:98} INFO - Opened bill HJRES 18
[2024-07-01T02:59:03.852+0000] {get_data.py:98} INFO - Opened bill HJRES 116
[2024-07-01T02:59:03.852+0000] {get_data.py:98} INFO - Opened bill HJRES 102
[2024-07-01T02:59:03.894+0000] {get_data.py:98} INFO - Opened bill SCONRES 32
[2024-07-01T02:59:03.894+0000] {get_data.py:98} INFO - Opened bill SCONRES 26
[2024-07-01T02:59:03.894+0000] {get_data.py:98} INFO - Opened bill SCONRES 27
[2024-07-01T02:59:03.894+0000] {get_data.py:98} INFO - Opened bill SCONRES 33
[2024-07-01T02:59:03.895+0000] {get_data.py:98} INFO - Opened bill SCONRES 19
[2024-07-01T02:59:03.895+0000] {get_data.py:98} INFO - Opened bill SCONRES 25
[2024-07-01T02:59:03.895+0000] {get_data.py:98} INFO - Opened bill SCONRES 31
[2024-07-01T02:59:03.896+0000] {get_data.py:98} INFO - Opened bill SCONRES 30
[2024-07-01T02:59:03.896+0000] {get_data.py:98} INFO - Opened bill SCONRES 24
[2024-07-01T02:59:03.896+0000] {get_data.py:98} INFO - Opened bill SCONRES 18
[2024-07-01T02:59:03.896+0000] {get_data.py:98} INFO - Opened bill SCONRES 20
[2024-07-01T02:59:03.897+0000] {get_data.py:98} INFO - Opened bill SCONRES 34
[2024-07-01T02:59:03.897+0000] {get_data.py:98} INFO - Opened bill SCONRES 35
[2024-07-01T02:59:03.897+0000] {get_data.py:98} INFO - Opened bill SCONRES 21
[2024-07-01T02:59:03.897+0000] {get_data.py:98} INFO - Opened bill SCONRES 23
[2024-07-01T02:59:03.898+0000] {get_data.py:98} INFO - Opened bill SCONRES 22
[2024-07-01T02:59:03.898+0000] {get_data.py:98} INFO - Opened bill SCONRES 36
[2024-07-01T02:59:03.898+0000] {get_data.py:98} INFO - Opened bill SCONRES 9
[2024-07-01T02:59:03.899+0000] {get_data.py:98} INFO - Opened bill SCONRES 8
[2024-07-01T02:59:03.899+0000] {get_data.py:98} INFO - Opened bill SCONRES 6
[2024-07-01T02:59:03.899+0000] {get_data.py:98} INFO - Opened bill SCONRES 7
[2024-07-01T02:59:03.900+0000] {get_data.py:98} INFO - Opened bill SCONRES 5
[2024-07-01T02:59:03.900+0000] {get_data.py:98} INFO - Opened bill SCONRES 4
[2024-07-01T02:59:03.900+0000] {get_data.py:98} INFO - Opened bill SCONRES 1
[2024-07-01T02:59:03.901+0000] {get_data.py:98} INFO - Opened bill SCONRES 3
[2024-07-01T02:59:03.901+0000] {get_data.py:98} INFO - Opened bill SCONRES 2
[2024-07-01T02:59:03.902+0000] {get_data.py:98} INFO - Opened bill SCONRES 13
[2024-07-01T02:59:03.902+0000] {get_data.py:98} INFO - Opened bill SCONRES 12
[2024-07-01T02:59:03.902+0000] {get_data.py:98} INFO - Opened bill SCONRES 10
[2024-07-01T02:59:03.902+0000] {get_data.py:98} INFO - Opened bill SCONRES 11
[2024-07-01T02:59:03.903+0000] {get_data.py:98} INFO - Opened bill SCONRES 15
[2024-07-01T02:59:03.903+0000] {get_data.py:98} INFO - Opened bill SCONRES 29
[2024-07-01T02:59:03.903+0000] {get_data.py:98} INFO - Opened bill SCONRES 28
[2024-07-01T02:59:03.904+0000] {get_data.py:98} INFO - Opened bill SCONRES 14
[2024-07-01T02:59:03.904+0000] {get_data.py:98} INFO - Opened bill SCONRES 16
[2024-07-01T02:59:03.904+0000] {get_data.py:98} INFO - Opened bill SCONRES 17
[2024-07-01T02:59:03.908+0000] {get_data.py:98} INFO - Opened bill HCONRES 114
[2024-07-01T02:59:03.908+0000] {get_data.py:98} INFO - Opened bill HCONRES 100
[2024-07-01T02:59:03.909+0000] {get_data.py:98} INFO - Opened bill HCONRES 64
[2024-07-01T02:59:03.909+0000] {get_data.py:98} INFO - Opened bill HCONRES 70
[2024-07-01T02:59:03.909+0000] {get_data.py:98} INFO - Opened bill HCONRES 58
[2024-07-01T02:59:03.909+0000] {get_data.py:98} INFO - Opened bill HCONRES 59
[2024-07-01T02:59:03.910+0000] {get_data.py:98} INFO - Opened bill HCONRES 71
[2024-07-01T02:59:03.910+0000] {get_data.py:98} INFO - Opened bill HCONRES 65
[2024-07-01T02:59:03.910+0000] {get_data.py:98} INFO - Opened bill HCONRES 101
[2024-07-01T02:59:03.910+0000] {get_data.py:98} INFO - Opened bill HCONRES 115
[2024-07-01T02:59:03.911+0000] {get_data.py:98} INFO - Opened bill HCONRES 103
[2024-07-01T02:59:03.911+0000] {get_data.py:98} INFO - Opened bill HCONRES 117
[2024-07-01T02:59:03.911+0000] {get_data.py:98} INFO - Opened bill HCONRES 73
[2024-07-01T02:59:03.912+0000] {get_data.py:98} INFO - Opened bill HCONRES 67
[2024-07-01T02:59:03.912+0000] {get_data.py:98} INFO - Opened bill HCONRES 98
[2024-07-01T02:59:03.912+0000] {get_data.py:98} INFO - Opened bill HCONRES 99
[2024-07-01T02:59:03.913+0000] {get_data.py:98} INFO - Opened bill HCONRES 66
[2024-07-01T02:59:03.913+0000] {get_data.py:98} INFO - Opened bill HCONRES 72
[2024-07-01T02:59:03.913+0000] {get_data.py:98} INFO - Opened bill HCONRES 116
[2024-07-01T02:59:03.914+0000] {get_data.py:98} INFO - Opened bill HCONRES 102
[2024-07-01T02:59:03.914+0000] {get_data.py:98} INFO - Opened bill HCONRES 106
[2024-07-01T02:59:03.914+0000] {get_data.py:98} INFO - Opened bill HCONRES 112
[2024-07-01T02:59:03.914+0000] {get_data.py:98} INFO - Opened bill HCONRES 76
[2024-07-01T02:59:03.915+0000] {get_data.py:98} INFO - Opened bill HCONRES 62
[2024-07-01T02:59:03.915+0000] {get_data.py:98} INFO - Opened bill HCONRES 89
[2024-07-01T02:59:03.915+0000] {get_data.py:98} INFO - Opened bill HCONRES 88
[2024-07-01T02:59:03.915+0000] {get_data.py:98} INFO - Opened bill HCONRES 63
[2024-07-01T02:59:03.916+0000] {get_data.py:98} INFO - Opened bill HCONRES 77
[2024-07-01T02:59:03.916+0000] {get_data.py:98} INFO - Opened bill HCONRES 113
[2024-07-01T02:59:03.916+0000] {get_data.py:98} INFO - Opened bill HCONRES 107
[2024-07-01T02:59:03.916+0000] {get_data.py:98} INFO - Opened bill HCONRES 111
[2024-07-01T02:59:03.917+0000] {get_data.py:98} INFO - Opened bill HCONRES 105
[2024-07-01T02:59:03.917+0000] {get_data.py:98} INFO - Opened bill HCONRES 49
[2024-07-01T02:59:03.917+0000] {get_data.py:98} INFO - Opened bill HCONRES 61
[2024-07-01T02:59:03.917+0000] {get_data.py:98} INFO - Opened bill HCONRES 75
[2024-07-01T02:59:03.918+0000] {get_data.py:98} INFO - Opened bill HCONRES 74
[2024-07-01T02:59:03.918+0000] {get_data.py:98} INFO - Opened bill HCONRES 60
[2024-07-01T02:59:03.918+0000] {get_data.py:98} INFO - Opened bill HCONRES 48
[2024-07-01T02:59:03.918+0000] {get_data.py:98} INFO - Opened bill HCONRES 104
[2024-07-01T02:59:03.919+0000] {get_data.py:98} INFO - Opened bill HCONRES 110
[2024-07-01T02:59:03.919+0000] {get_data.py:98} INFO - Opened bill HCONRES 13
[2024-07-01T02:59:03.919+0000] {get_data.py:98} INFO - Opened bill HCONRES 12
[2024-07-01T02:59:03.919+0000] {get_data.py:98} INFO - Opened bill HCONRES 10
[2024-07-01T02:59:03.920+0000] {get_data.py:98} INFO - Opened bill HCONRES 38
[2024-07-01T02:59:03.920+0000] {get_data.py:98} INFO - Opened bill HCONRES 8
[2024-07-01T02:59:03.920+0000] {get_data.py:98} INFO - Opened bill HCONRES 9
[2024-07-01T02:59:04.542+0000] {get_data.py:98} INFO - Opened bill HCONRES 39
[2024-07-01T02:59:04.543+0000] {get_data.py:98} INFO - Opened bill HCONRES 11
[2024-07-01T02:59:04.543+0000] {get_data.py:98} INFO - Opened bill HCONRES 29
[2024-07-01T02:59:04.544+0000] {get_data.py:98} INFO - Opened bill HCONRES 15
[2024-07-01T02:59:04.544+0000] {get_data.py:98} INFO - Opened bill HCONRES 14
[2024-07-01T02:59:04.545+0000] {get_data.py:98} INFO - Opened bill HCONRES 28
[2024-07-01T02:59:04.545+0000] {get_data.py:98} INFO - Opened bill HCONRES 16
[2024-07-01T02:59:04.546+0000] {get_data.py:98} INFO - Opened bill HCONRES 17
[2024-07-01T02:59:04.546+0000] {get_data.py:98} INFO - Opened bill HCONRES 26
[2024-07-01T02:59:04.547+0000] {get_data.py:98} INFO - Opened bill HCONRES 32
[2024-07-01T02:59:04.547+0000] {get_data.py:98} INFO - Opened bill HCONRES 2
[2024-07-01T02:59:04.547+0000] {get_data.py:98} INFO - Opened bill HCONRES 3
[2024-07-01T02:59:04.790+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:59:05.000+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:59:05.000+0000] {get_data.py:98} INFO - Opened bill HCONRES 33
[2024-07-01T02:59:05.000+0000] {get_data.py:98} INFO - Opened bill HCONRES 27
[2024-07-01T02:59:05.001+0000] {get_data.py:98} INFO - Opened bill HCONRES 31
[2024-07-01T02:59:05.001+0000] {get_data.py:98} INFO - Opened bill HCONRES 25
[2024-07-01T02:59:05.450+0000] {get_data.py:98} INFO - Opened bill HCONRES 19
[2024-07-01T02:59:05.451+0000] {get_data.py:98} INFO - Opened bill HCONRES 1
[2024-07-01T02:59:05.451+0000] {get_data.py:98} INFO - Opened bill HCONRES 18
